规则名称,严重级别,规则说明,规则识别字符串
deadcode/unused,警告,"%s 未使用","\S* is unused"
errcheck/retvalue,提示,"没有检查返回值","error return value not checked"
gochecknoglobals/noglobals,提示,"检查全局变量。全局变量是函数签名、复杂的测试中不可见的函数的输入，会降低了可读性并增加了代码的复杂性。","\S* is a global variable"
gosec/archive,警告,"解压zip时候文件遍历","File traversal when extracting zip archive"
gosec/calls,错误,"审查不安全的调用","Use of unsafe calls should be audited"
gosec/blacklist,错误,"crypto/md5已被列入import的黑名单中","Blacklisted import crypto/md5: weak cryptographic primitive"
gosec/blacklist,错误,"crypto/des已被列入import的黑名单中","Blacklisted import crypto/des: weak cryptographic primitive"
gosec/blacklist,错误,"crypto/rc4已被列入import的黑名单中","Blacklisted import crypto/rc4: weak cryptographic primitive"
gosec/blacklist,错误,"net/http/cgi已被列入import的黑名单中：Go版本低于1.6.3容易受到Httpoxy的攻击：(CVE-2016-5386)","Blacklisted import net/http/cgi: Go versions < 1.6.3 are vulnerable to Httpoxy attack: \(CVE-2016-5386\)"
gosec/blacklist,错误,"crypto/sha1已被列入import的黑名单中","Blacklisted import crypto/sha1: weak cryptographic primitive"
gosec/crypto,错误,"硬编码凭证","Potential hardcoded credentials"
gosec/crypto,错误,"使用弱的数字随机生成器（使用math/rand，而不是crypto/rand）","Use of weak random number generator \(math/rand instead of crypto/rand\)"
gosec/crypto,错误,"RSA Key至少应该有%d位(bits)","RSA keys should be at least \d* bits"
gosec/crypto,错误,"使用了弱的加密方法","Use of weak cryptographic primitive"
gosec/error,错误,"没有处理错误","Errors unhandled"
gosec/escape,错误,"该方法不会自动转义HTML。验证数据格式良好。","this method will not auto-escape HTML. Verify data is well formed."
gosec/file,错误,"在tmp目录创建文件没有使用ioutil.Tempfile","File creation in shared tmp directory without using ioutil.Tempfile"
gosec/modulus,错误,"检查使用math/big.Int.Exp函数时模数是否为0","Use of math/big.Int.Exp function should be audited for modulus == 0"
gosec/network,错误,"绑定了所有网络接口","Binds to all network interfaces"
gosec/permission,错误,"文件至少需要%#o的权限","Expect file permissions to be \d* or less"
gosec/permission,错误,"目录至少需要%#o的权限","Expect directory permissions to be \d* or less"
gosec/sql,错误,"使用了SQL字符拼接","SQL string concatenation"
gosec/sql,错误,"使用了SQL字符格式化","SQL string formatting"
gosec/subproc,警告,"检查子进程的启动","Subprocess launching should be audited"
gosec/subproc,错误,"子进程启动使用了变量参数","Subprocess launched with variable"
gosec/ssrf,错误,"使用变量url进行的潜在HTTP请求","Potential HTTP request made with variable url"
gosec/ssh,错误,"应检查ssh InsecureIgnoreHostKey的使用","Use of ssh InsecureIgnoreHostKey should be audited"
gosec/tls,错误,"TLS Bad Cipher Suite: %s","TLS Bad Cipher Suite: \w*"
gosec/tls,错误,"InsecureSkipVerify设为true","TLS InsecureSkipVerify set true."
gosec/tls,错误,"InsecureSkipVerify可能为true","TLS InsecureSkipVerify may be true."
gosec/tls,错误,"PreferServerCipherSuites设为false","TLS PreferServerCipherSuites set false."
gosec/tls,错误,"PreferServerCipherSuites可能为false","TLS PreferServerCipherSuites may be false."
gosec/tls,错误,"MinVersion太低","TLS MinVersion too low."
gosec/tls,错误,"MinVersion可能太低","TLS MinVersion may be too low."
gosec/tls,错误,"MaxVersion太低","TLS MaxVersion too low."
gosec/tls,错误,"MaxVersion可能太低","TLS MaxVersion may be too low."
gosec/readfile,警告,"变量可能包含文件路径","Potential file inclusion via variable"
goconst/string,警告,"重复使用的字符串应提取为常量：在 %s:%d:%d:%d 也使用了字符串 "%s"，文件为： %s","\w*:\d*:\d*:\d* other occurrence\(s\) of "\S*" found in: .*"
gofmt/notformat,提示,"文件没有使用gofmt -s格式化","file is not gofmted with -s"
goimports/notimport,错误,"文件没有被goimport","file is not goimported"
golint/arg-order,提示,"context.Context应该是函数的第一个参数","context\.Context should be the first parameter of a function"
golint/arg-order,提示,"当返回多个值时，错误值应该放到最后","error should be the last type when returning multiple items"
golint/comment,提示,"package注释与声明之间不应该有空行","package comment is detached; there should be no blank lines between it and the package statement"
golint/comment,提示,"package需要写注释","should have a package comment, unless it's in another file for this package"
golint/comment,提示,"package注释开头不应该有空格","package comment should not have leading space"
golint/comment,提示,"package注释应该是该种形式 %s","package comment should be of the form ".*\.\.\.""
golint/comment,提示,"exported类型变量 %v 应该有注释，或者改成非exported类型","exported type \S* should have comment or be unexported"
golint/comment,提示,"在exported类型 %v的注释，形式应该是%v…","comment on exported type \w* should be of the form ".*\.\.\.""
golint/comment,提示,"exported类型 %s %s应该有注释，或者设置为unexported类型","exported \w* \S* should have comment or be unexported"
golint/comment,提示,"在exported类型%s %s的注释，形式应该是%s…","comment on exported \w* \S* should be of the form ".*\.\.\.""
golint/comment,提示,"exported类型%s %s应该有它自己的声明","exported \w* \S* should have its own declaration"
golint/comment,提示,"exported类型 %s %s应该有注释%s，或者设置为unexported类型","exported \w* \S* should have comment.* or be unexported"
golint/zero-value,提示,"应该丢弃 = %s，从变量%s声明中；它的值为0","should drop = \w* from declaration of var \w*; it is the zero value"
golint/type-inference,提示,"可以省略类型%s，因为该类型可以从变量%s的声明语句中的右值推导出来","should omit type \w* from declaration of var \w*; it will be inferred from the right-hand side"
golint/imports,提示,"空的import应只能在main或test package里面，或者使用注释说明","a blank import should be only in a main or test package, or have a comment justifying it"
golint/imports,提示,"不应该使用 . imports 形式","should not use dot imports"
golint/naming,提示,"Go名称不应该使用全部大写，请使用驼峰格式","don't use ALL_CAPS in Go names; use CamelCase"
golint/naming,提示,"Go名称不应该使用k开头；%s %s应该是%s","don't use leading k in Go names; \w* \w* should be \w*"
golint/naming,提示,"Go名称不应该使用下划线；%s %s应该是%s","don't use underscores in Go names; \w* \w* should be \w*"
golint/naming,提示,"%s %s 应该是 %s","^\w* \w* should be \w*$"
golint/naming,提示,"%s 名称会被其他packages以 %s.%s引用，可以考虑这样调用 %s","\w* name will be used as \w*\.\S* by other packages, and that stutters; consider calling this \w*"
